"Story","Title","Result","Date","Stability","Duration (s)"
"Registrar un usuario nuevo","Se realiza el registro de un nuevo usuario en la web","SUCCESS","2021-08-05T00:27:56.857-05:00[America/Bogota]","0.0","32.7"
"Crear un nuevo usuario","Registrar un nuevo usuario","SUCCESS","2021-08-05T16:38:45.376-05:00[America/Bogota]","0.0","113.3"
